2026-05-05 15:19:23,369 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/NORDPOOL_CET_Spot_Power_INT_Validated_1330_20260422133017.csv
2026-05-05 15:19:23,370 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/ref_data_market_area_mapping.csv
2026-05-05 15:19:41,512 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/NORDPOOL_CET_Spot_Power_EOD_Validated_1330_20260422133012.csv
2026-05-05 15:19:41,521 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/NORDPOOL_CET_Spot_Power_INT_Validated_1330_20260422133017.csv
2026-05-05 15:19:41,522 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/ref_data_market_area_mapping.csv
2026-05-05 15:19:43,723 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/NORDPOOL_CET_Spot_Power_EOD_Validated_1330_20260422133012.csv
2026-05-05 15:19:43,733 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/NORDPOOL_CET_Spot_Power_INT_Validated_1330_20260422133017.csv
2026-05-05 15:19:43,733 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/ref_data_market_area_mapping.csv
2026-05-05 15:19:43,781 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/NORDPOOL_CET_Spot_Power_EOD_Validated_1330_20260422133012.csv
2026-05-05 15:19:43,788 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/NORDPOOL_CET_Spot_Power_INT_Validated_1330_20260422133017.csv
2026-05-05 15:19:43,789 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/ref_data_market_area_mapping.csv
2026-05-05 15:19:45,814 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/NORDPOOL_CET_Spot_Power_EOD_Validated_1330_20260422133012.csv
2026-05-05 15:19:45,827 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/NORDPOOL_CET_Spot_Power_INT_Validated_1330_20260422133017.csv
2026-05-05 15:19:45,828 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/ref_data_market_area_mapping.csv
2026-05-05 15:19:45,873 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/NORDPOOL_CET_Spot_Power_EOD_Validated_1330_20260422133012.csv
2026-05-05 15:19:45,881 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/NORDPOOL_CET_Spot_Power_INT_Validated_1330_20260422133017.csv
2026-05-05 15:19:45,882 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/ref_data_market_area_mapping.csv
2026-05-05 15:23:27,851 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/NORDPOOL_CET_Spot_Power_EOD_Validated_1330_20260422133012.csv
2026-05-05 15:23:27,857 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/NORDPOOL_CET_Spot_Power_INT_Validated_1330_20260422133017.csv
2026-05-05 15:23:27,858 | INFO | src.core.ingestion.csv_loader | Loaded CSV: data/ref_data_market_area_mapping.csv
